Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration
0,593791147119632,593791181017936,9223372036854775807,0,593791181984323,593791182377977,593791182723515,593791184180092,593791188466477,593791189001630,593791193292707,593791202861784,593791205051169,2314000,715000,
1,593791197339577,593791400729401,9223372036854775807,0,593791411221707,593791411246476,593791411549015,593791434730284,593791436728361,593791436958976,593791438583323,593791445445592,593791447593823,2651000,443000,
0,593791414957113,593791448855417,9223372036854775807,0,593791458930746,593791458966630,593791459190707,593791459343707,593791459813861,593791459937861,593791461131361,593791468556246,593791470072861,2358000,320000,
0,593791465174652,593791465174652,9223372036854775807,0,593791465729015,593791465735630,593791465920630,593791466072899,593791466101015,593791470229323,593791470378284,593791471723399,593791473442630,328000,416000,
0,593791481912819,593791481912819,9223372036854775807,0,593791482707938,593791482730823,593791482912361,593791483056861,593791483083399,593791483195399,593791483326323,593791484599284,593791486034207,338000,504000,
0,593791498652730,593791498652730,9223372036854775807,0,593791499136361,593791499163438,593791499341630,593791499495322,593791499519899,593791500397476,593791500606361,593791501756822,593791502949053,264000,362000,
0,593791515392815,593791515392815,9223372036854775807,0,593791515836784,593791515864784,593791516043361,593791516194861,593791516223669,593791516345938,593791516487361,593791517599015,593791518823092,189000,355000,
0,593791532132614,593791532132614,9223372036854775807,0,593791532583822,593791532612515,593791532793246,593791532938938,593791532963053,593791533090399,593791533236015,593791535004707,593791536434169,212000,380000,
0,593791548872529,593791548872529,9223372036854775807,0,593791549317322,593791549344669,593791549547822,593791549704130,593791549734322,593791550214207,593791550376361,593791551906822,593791553207707,286000,328000,
0,593792101289152,593792135187456,9223372036854775807,0,593792140438399,593792140462899,593792140567630,593792147787822,593792149271053,593792149494630,593792153498360,593792158465745,593792160809976,577000,962000,
0,593792151584507,593792151584507,9223372036854775807,0,593792161772130,593792161792707,593792161896399,593792162011014,593792162097668,593792162684360,593792163071707,593792173076976,593792175416207,799000,626000,
0,593792168307053,593792168307053,9223372036854775807,0,593792168654476,593792168659091,593792168747745,593792168811437,593792168826860,593792175676591,593792175906976,593792179542168,593792181292437,398000,463000,
0,593792185063959,593792185063959,9223372036854775807,0,593792185695668,593792185721822,593792185897014,593792186033707,593792186067360,593792186608091,593792186830784,593792189241630,593792190878476,351000,365000,
0,593792202013239,593792202013239,9223372036854775807,0,593792202486668,593792202514937,593792202698630,593792202849476,593792202884745,593792203382630,593792203707284,593792205889668,593792207624668,401000,517000,
0,593792218962222,593792218962222,9223372036854775807,0,593792219556053,593792219580053,593792219742860,593792219883937,593792219919668,593792220821707,593792221077053,593792223599937,593792225777707,393000,754000,
0,593792235911454,593792235911454,9223372036854775807,0,593792236470591,593792236504014,593792236791014,593792237425899,593792237500668,593792237753168,593792237990360,593792239813284,593792241882745,323000,593000,
0,593792252859959,593792252859959,9223372036854775807,0,593792253827937,593792253888745,593792254177130,593792254413399,593792254481514,593792254704399,593792254929745,593792257843783,593792259415668,408000,476000,
0,593792268801691,593792268801691,9223372036854775807,0,593792269176591,593792269210283,593792269430591,593792269675130,593792270285745,593792270607322,593792270841245,593792272881822,593792274587630,448000,458000,
0,593792285539895,593792285539895,9223372036854775807,0,593792286000745,593792286008745,593792286325245,593792286919783,593792286989630,593792287223976,593792287484783,593792289891207,593792291808514,366000,402000,
0,593792302277794,593792302277794,9223372036854775807,0,593792302852283,593792302887783,593792303220745,593792303538322,593792303615360,593792303878476,593792304119630,593792306673707,593792308446591,595000,487000,
0,593792319015826,593792319015826,9223372036854775807,0,593792319459976,593792319493976,593792319789360,593792320402553,593792320488476,593792320719245,593792320947130,593792323188437,593792325065399,406000,563000,
0,593792335753687,593792335753687,9223372036854775807,0,593792336369668,593792336409899,593792336752630,593792337443091,593792337523707,593792337767822,593792338030168,593792340695130,593792342154860,458000,511000,
0,593792352489806,593792352489806,9223372036854775807,0,593792363035322,593792363070130,593792363385091,593792363640976,593792363713283,593792363945130,593792364178399,593792367304206,593792369199899,448000,429000,
1,593792369227525,593792369227525,9223372036854775807,0,593792384886899,593792384922130,593792385298937,593792396400283,593792396570245,593792396836937,593792397072322,593792399497437,593792401230706,294000,365000,
0,593792402702983,593792402702983,9223372036854775807,0,593792407788937,593792407828206,593792407834514,593792419526014,593792420285976,593792420832322,593792421171168,593792423582206,593792425300591,378000,479000,
0,593792720795114,593792720795114,9223372036854775807,0,593792721327245,593792721359245,593792721366475,593792721591245,593792721758014,593792722199129,593792722429091,593792725741668,593792728828937,372000,558000,
0,593792737533582,593792737533582,9223372036854775807,0,593792737983552,593792738015475,593792738020706,593792738657706,593792738791591,593792739028822,593792739285168,593792741270745,593792743088822,306000,512000,
0,593795382814028,593795382814028,9223372036854775807,0,593795386682435,593795386747512,593795387239281,593795387796781,593795389311089,593795390294935,593795390899281,593795399150358,593795407290050,1106000,2399000,
1,593795399547628,593795518191692,9223372036854775807,0,593795535014127,593795535053397,593795535277358,593795555300397,593795556653666,593795556962050,593795558974320,593795560986743,593795563244935,433000,571000,
0,593795550193530,593795550193530,9223372036854775807,0,593795566892512,593795566931858,593795567205320,593795567408358,593795567671089,593795567969897,593795568889512,593795576230243,593795578292012,406000,562000,
0,593795583666281,593795583666281,9223372036854775807,0,593795585238550,593795585250396,593795585703781,593795585965973,593795586010935,593795586418089,593795586678012,593795588559858,593795591013050,457000,994000,
0,593795600400827,593795600400827,9223372036854775807,0,593795601256435,593795601309166,593795601705012,593795601989589,593795602035435,593795602372166,593795602620781,593795604863473,593795607001896,458000,702000,
0,593795617137240,593795617137240,9223372036854775807,0,593795617782935,593795617825204,593795618320550,593795618668473,593795618738627,593795619097204,593795619443166,593795621410243,593795623531012,379000,531000,
