time,%CPU-user,%CPU-nice,%CPU-sys,%MEM
1591691491.79864,169%user,0%nice,94%sys,3548328k
1591691493.332005,158%user,3%nice,116%sys,3548948k
1591691494.8757777,187%user,0%nice,129%sys,3551844k
1591691496.4230769,190%user,0%nice,155%sys,3552492k
1591691498.0005393,178%user,0%nice,141%sys,3554492k
1591691499.5598438,116%user,0%nice,84%sys,3558568k
1591691501.0777705,140%user,23%nice,83%sys,3535008k
1591691502.6149304,148%user,3%nice,73%sys,3535920k
1591691504.1759448,147%user,0%nice,141%sys,3525860k
1591691505.7433176,188%user,0%nice,188%sys,3527568k
1591691507.2970617,141%user,0%nice,119%sys,3518732k
1591691508.8581476,138%user,0%nice,113%sys,3518420k
1591691510.4276407,164%user,0%nice,139%sys,3520468k
1591691511.990849,147%user,0%nice,131%sys,3522204k
1591691513.5408535,184%user,0%nice,100%sys,3522604k
1591691515.0649264,200%user,0%nice,164%sys,3527688k
1591691516.6342187,178%user,0%nice,150%sys,3530604k
1591691518.1965282,144%user,0%nice,169%sys,3506408k
1591691519.735973,119%user,3%nice,113%sys,3501820k
1591691521.2878625,158%user,0%nice,77%sys,3503820k
1591691522.8238463,155%user,3%nice,109%sys,3504644k
1591691524.3748362,122%user,0%nice,78%sys,3504252k
1591691525.9494433,112%user,0%nice,88%sys,3505772k
1591691527.498854,152%user,0%nice,106%sys,3506872k
1591691529.050991,138%user,0%nice,113%sys,3506468k
1591691530.6240692,212%user,3%nice,97%sys,3507896k
1591691532.1599183,158%user,0%nice,190%sys,3508564k
1591691533.7191389,175%user,6%nice,109%sys,3510792k
1591691535.2571683,216%user,0%nice,126%sys,3501012k
1591691536.7791998,177%user,0%nice,119%sys,3502252k
1591691538.329759,122%user,0%nice,100%sys,3502128k
1591691539.8879724,148%user,0%nice,85%sys,3500468k
1591691541.4542701,106%user,3%nice,81%sys,3502972k
